Customer ID,MeanProdSale,TotalSale,TotalProd,MeanSpentSession,MeanProdSession,TotalProdRet,MinProdSpent,MaxProdSpent,MeanTimeGap,Nsessions,DistinctProd
14590.0,4.068152866242039,2592.13,783,117.82409090909093,35.59090909090909,13,0.85,100.8,14.61904761904762,17.0,104
13287.0,3.0541509433962264,583.77,319,97.295,53.16666666666666,110,7.5,25.5,21.0,3.0,46
16550.0,2.6949259259259257,6376.100000000004,3888,335.5842105263158,204.6315789473684,49,1.05,90.0,15.705882352941176,12.0,194
14680.0,2.829764957264957,29393.660000000003,13842,459.27593750000005,216.28125,345,0.84,306.0,5.60655737704918,41.0,181
17372.0,3.026512702078522,2830.28,1157,134.77523809523814,55.095238095238095,49,0.21,76.5,15.85,18.0,298
14709.0,4.216845238095238,4013.24,1660,308.7107692307693,127.6923076923077,1,2.5,64.5,28.58333333333333,12.0,65
13798.0,2.452250639386189,39876.92999999996,25116,643.1762903225805,405.0806451612903,687,0.42,510.0,5.5,52.0,121
13206.0,2.037669172932331,5872.549999999998,4872,587.255,487.2,0,0.84,139.2,34.111111111111114,10.0,307
13694.0,1.9273553719008265,112223.3100000001,101627,1219.8185869565225,1104.608695652174,1375,2.5,952.0,3.857142857142857,83.0,578
12709.0,3.262846975088968,20228.43999999999,9782,722.4442857142858,349.35714285714283,101,0.42,598.8,12.77777777777778,19.0,153
14156.0,3.9762035878181057,175330.33000000037,102258,1593.9120909090905,929.6181818181818,1116,1.7,1990.0,3.0642201834862384,90.0,1051
13821.0,3.67,1001.39,324,200.278,64.8,6,1.1,39.95,82.5,4.0,132
14527.0,5.21175962815405,13732.570000000089,3645,137.3257,36.16,64,0.42,207.6,3.555555555555556,64.0,442
16792.0,2.4664444444444444,513.08,280,171.02666666666664,93.33333333333331,0,0.55,23.8,117.0,3.0,83
17807.0,2.325730337078652,437.8699999999999,262,145.95666666666668,87.33333333333333,0,0.55,30.6,81.5,3.0,88
16296.0,3.3049090909090912,914.72,479,182.944,95.8,8,10.08,39.8,37.0,3.0,44
15581.0,2.487641723356009,3600.6199999999944,2322,180.03099999999998,116.1,14,0.29,70.80000000000001,18.31578947368421,19.0,346
13004.0,2.6336385542168674,5581.029999999993,3755,232.54291666666663,156.45833333333334,300,2.28,59.400000000000006,14.956521739130435,18.0,236
17841.0,3.037519816437213,28814.56000000045,14113,244.191186440678,119.58474576271186,230,0.42,229.5,3.0258620689655173,85.0,1429
16029.0,4.455089820359281,48305.98,21638,1006.3745833333334,450.5208333333333,20,59.400000000000006,2256.0,7.622222222222222,45.0,32
13078.0,3.8466270783847984,15092.120000000014,6021,314.4191666666667,125.4375,70,2.28,232.0,7.23404255319149,29.0,100
14477.0,1.65,660.0,400,220.0,133.33333333333334,0,165.0,165.0,90.5,3.0,3
15867.0,3.3154967948717946,5098.290000000001,2910,242.7757142857143,138.57142857142858,7,0.12,175.2,16.6,18.0,377
14839.0,2.332297297297297,915.28,927,305.0933333333333,309.0,0,1.25,25.5,99.5,3.0,61
17969.0,4.677972972972973,1715.7900000000009,846,81.70428571428572,40.285714285714285,30,0.65,75.0,17.25,15.0,89
