Customer ID,MeanProdSale,TotalSale,TotalProd,MeanSpentSession,MeanProdSession,TotalProdRet,MinProdSpent,MaxProdSpent,MeanTimeGap,Nsessions,DistinctProd,Label_09
13085.0,3.425,1096.8000000000002,376,274.20000000000005,94.0,0,15.0,100.8,19.666666666666668,4.0,18.0,Loyalty
13078.0,3.999607843137255,2278.3,735,379.7166666666667,122.5,13,10.0,130.8,68.4,4.0,34.0,Loyalty
12682.0,3.1729268292682926,964.9500000000002,409,321.65000000000003,136.33333333333334,0,7.800000000000001,124.95,171.5,3.0,36.0,Loyalty
18087.0,3.130454545454546,989.74,290,247.435,72.5,0,8.48,204.0,112.0,4.0,20.0,Loyalty
15413.0,3.945,4513.42,1922,1504.4733333333334,640.6666666666666,0,101.76,784.8000000000001,168.5,3.0,16.0,Loyalty
17865.0,2.9785401459854013,2900.7100000000014,1385,362.58875,173.125,12,0.42,76.5,49.142857142857146,6.0,108.0,Loyalty
13767.0,4.30175,2498.6500000000005,895,624.6625,223.75,3,13.919999999999998,232.0,112.0,3.0,31.0,Loyalty
17238.0,3.706962025316456,559.9000000000001,177,186.63333333333333,59.0,0,0.85,25.5,152.0,3.0,62.0,Loyalty
16011.0,3.3048571428571427,543.2800000000001,291,135.82,72.75,3,0.85,31.8,114.0,3.0,51.0,Loyalty
12931.0,1.45,1268.75,875,634.375,437.5,0,108.75,1160.0,59.0,2.0,2.0,Loyalty
12533.0,2.814651162790698,791.52,460,263.84,153.33333333333334,18,2.9,44.55,152.0,1.0,43.0,Loyalty
12913.0,2.898571428571429,741.96,268,370.98,134.0,0,30.0,147.89999999999998,181.0,2.0,5.0,Loyalty
14341.0,2.467941176470588,584.7399999999999,442,194.91333333333333,147.33333333333334,1,2.28,53.1,169.5,2.0,32.0,Loyalty
13599.0,1.7494736842105263,965.69,832,321.89666666666665,277.3333333333333,2,6.3,153.6,168.5,2.0,38.0,Loyalty
15326.0,3.799433962264151,629.9700000000003,423,209.99,141.0,15,5.04,33.9,170.0,2.0,47.0,Loyalty
15005.0,2.67216,868.16,477,173.632,95.4,8,1.49,27.8,84.75,3.0,101.0,Loyalty
13097.0,3.616288659793815,1224.5299999999993,537,306.13250000000005,134.25,4,0.42,55.8,112.66666666666669,3.0,88.0,Loyalty
14030.0,3.7519642857142856,740.2,380,246.7333333333333,126.66666666666669,1,2.1,71.6,136.5,2.0,54.0,Loyalty
15984.0,2.3978125,1384.1300000000006,1066,461.3766666666667,355.3333333333333,0,1.45,90.0,169.0,3.0,48.0,Loyalty
12921.0,2.7043037974683544,2443.7000000000007,1539,610.9250000000001,384.75,0,10.2,135.0,113.33333333333331,4.0,52.0,Loyalty
